"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x980287703592837120",2018-04-01 03:36:16,"x2466085586","ParadiseFoundMT","RT @KayaJones: First &amp; foremost @IngrahamAngle is one of the best journalists out here in the battle to share the truth! To see how sponsor…","Twitter for iPad",,,,FALSE,TRUE,0,190,,,,,,,,,,,,,,"x32626129 50769180","KayaJones IngrahamAngle","en",,,"x980281199326212098","First &amp; foremost @IngrahamAngle is one of the best journalists out here in the battle to share the truth! To see how sponsors have listened to a child full of entitlement is an utter disgrace.He wasn’t even in the school at the time of the shooting. Please support Laura #MAGA Fam",,,,,,,,,
"x980287697330741255",2018-04-01 03:36:14,"x758546173028212736","gaagee0406","RT @tonyposnanski: This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shoot…","Twitter for iPhone",,,,FALSE,TRUE,0,3391,,,,,,,,,,,,,,"x17642747","tonyposnanski","en",,,"x980217128618885120","This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shooting...

I once again want to commend Melania Trump on her amazing Anti- Cyber Bulling campaign...

HELLUVA JOB FLOTUS!",,,,,,,,,
"x980287695200006144",2018-04-01 03:36:14,"x2720596007","_________era","RT @JesseGranger_: The Golden Knights have retired the No. 58 in honor of the 58 victims of the Oct. 1 shooting. They are hanging a banner…","Twitter for iPhone",,,,FALSE,TRUE,0,453,,,,,,,,,,,,,,"x524814349","JesseGranger_","en",,,"x980274545205526528","The Golden Knights have retired the No. 58 in honor of the 58 victims of the Oct. 1 shooting. They are hanging a banner in the rafters with 58 stars and the names of the victims. #VegasStrong #VegasBorn https://t.co/8ydTJDvnCk",,,,,,,,,
"x980287693073530881",2018-04-01 03:36:13,"x839410459996381184","ildfluer","RT @ChrisCJackson: By the way, @Stallone just locked his account after deleting this tweet urging violence against a kid who survived a sch…","Twitter Lite",,,,FALSE,TRUE,0,1679,,,,,,,,,,,,,,"x326412173 87590182","ChrisCJackson Stallone","en",,,"x980147549863596032","By the way, @Stallone just locked his account after deleting this tweet urging violence against a kid who survived a school shooting.

In case you’re wondering who the pussy is. https://t.co/r7gCQHeWkn",,,,,,,,,
"x980287689881681920",2018-04-01 03:36:12,"x108764163","jenjen1172","RT @tonyposnanski: This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shoot…","Twitter for iPhone",,,,FALSE,TRUE,0,3391,,,,,,,,,,,,,,"x17642747","tonyposnanski","en",,,"x980217128618885120","This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shooting...

I once again want to commend Melania Trump on her amazing Anti- Cyber Bulling campaign...

HELLUVA JOB FLOTUS!",,,,,,,,,
"x980287689776807936",2018-04-01 03:36:12,"x305867856","JNFernandez1980","Everyone is already counting out @umichbball to win the #NationalChampionship  on Monday. I just don’t see @NovaMBB shooting lights out again to where everything goes in. It’ll be a good game. Good guys by 5pts. #GoBlue  #FinalFour","Twitter for iPhone",,,,FALSE,FALSE,0,0,"NationalChampionship GoBlue FinalFour",,,,,,,,,,,,,"x22642626 1581277519","umichbball NovaMBB","en",,,,,,,,,,,,,
"x980287689734967296",2018-04-01 03:36:12,"x890831135613345792","CMccammant","RT @KayaJones: Why wasn’t he in school when the shooting happened? Can someone explain that? Kinda weird the kids pushing to take our right…","Twitter for iPhone",,,,FALSE,TRUE,0,119,,,,,,,,,,,,,,"x32626129","KayaJones","en",,,"x980283824536920071","Why wasn’t he in school when the shooting happened? Can someone explain that? Kinda weird the kids pushing to take our rights away clearly weren’t there so were they tipped off?",,,,,,,,,
"x980287688807993345",2018-04-01 03:36:12,"x896714311661256705","ValentinGodMade","RT @HowertonNews: The victim who died in a shooting at a Plano apartment complex this week has been identified as Quintarius Young, 29, of…","Twitter Lite",,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x580211436","HowertonNews","en",,,"x980270352365510657","The victim who died in a shooting at a Plano apartment complex this week has been identified as Quintarius Young, 29, of Plano, police said.

https://t.co/KMv4hnLtu3",,,,,,,,,
"x980287687415476224",2018-04-01 03:36:12,"x892454159420731393","JagBellemondo","RT @CBSNews: Sacramento mayor: ""Implied racism"" an ""undeniable factor"" in police shootings https://t.co/gvCcHBazBG https://t.co/tmtFVzEKTK","Twitter for iPhone",,,,FALSE,TRUE,0,134,,,"cbsn.ws/2pZQ9OL","https://t.co/gvCcHBazBG","https://cbsn.ws/2pZQ9OL","http://pbs.twimg.com/media/DZqtvSfVAAAvg62.jpg","https://t.co/tmtFVzEKTK","https://twitter.com/CBSNews/status/980286898534080512/photo/1","photo","http://pbs.twimg.com/media/DZqtvSfVAAAvg62.jpg","https://t.co/tmtFVzEKTK","https://twitter.com/CBSNews/status/980286898534080512/photo/1",,"x15012486","CBSNews","en",,,"x980286898534080512","Sacramento mayor: ""Implied racism"" an ""undeniable factor"" in police shootings https://t.co/gvCcHBazBG https://t.co/tmtFVzEKTK",,,,,,,,,
"x980287686182281216",2018-04-01 03:36:11,"x950259729149784066","LLBowyer2018","@knkcattle @ohgeeone23 You can't make a video of yourself hiding in a closet pretending to be scared &amp; saying you see the shooter &amp; then later state you werent in the school while the shooting was happening! 

What I want to know is if his FBI father informed him the shooting was happening that day!","Twitter for Android","x980194474016911361","x4075000398","knkcattle",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x4075000398 281591242","knkcattle ohgeeone23","en",,,,,,,,,,,,,
"x980287678703747072",2018-04-01 03:36:10,"x30591315","Maliseet","RT @CFRAOttawa: BREAKING: Ottawa Police are investigating a shooting on Dynes Road. Police say calls came in around 8:45 p.m. No one injure…","Twitter for iPhone",,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,"x49654153","CFRAOttawa","en",,,"x980258866280718336","BREAKING: Ottawa Police are investigating a shooting on Dynes Road. Police say calls came in around 8:45 p.m. No one injured, no suspects. #ottnews",,,,,,,,,
"x980287671380652032",2018-04-01 03:36:08,"x745927723172904961","babykaats","RT @sarahkaplan48: Steve Melanson, who has slept in his wife’s hospital room every night for 6 months, just told me a Washington Post reade…","Twitter for iPhone",,,,FALSE,TRUE,0,868,,,,,,,,,,,,,,"x246980471","sarahkaplan48","en",,,"x980069385489518592","Steve Melanson, who has slept in his wife’s hospital room every night for 6 months, just told me a Washington Post reader paid for a more comfortable recliner to be manufactured and shipped to him in Las Vegas so he gets a better night’s sleep. 

https://t.co/Ojznxt5JZJ",,,,,,,,,
"x980287666167123968",2018-04-01 03:36:07,"x962433378095128576","steelme00","RT @Fr3ddyKal1k: These kids really bullied a kid, survived the shooting, blamed the shooting on guns, and then got famous","Twitter for iPhone",,,,FALSE,TRUE,0,35,,,,,,,,,,,,,,"x906705430478499842","Fr3ddyKal1k","en",,,"x979473126462455808","These kids really bullied a kid, survived the shooting, blamed the shooting on guns, and then got famous",,,,,,,,,
"x980287666129272832",2018-04-01 03:36:07,"x2717525249","CurdeJL","RT @marchmadness: Kansas trying to stop Villanova's 3-point shooting...  <f0><U+009F><U+0094><U+00A5>

#FinalFour https://t.co/Qo67J4LvMN","Twitter for Android",,,,FALSE,TRUE,0,789,"FinalFour",,,,,"http://pbs.twimg.com/tweet_video_thumb/DZqS25WVMAANltJ.jpg","https://t.co/Qo67J4LvMN","https://twitter.com/marchmadness/status/980257529874743296/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/DZqS25WVMAANltJ.jpg","https://t.co/Qo67J4LvMN","https://twitter.com/marchmadness/status/980257529874743296/photo/1",,"x202416362","marchmadness","en",,,"x980257529874743296","Kansas trying to stop Villanova's 3-point shooting...  <f0><U+009F><U+0094><U+00A5>

#FinalFour https://t.co/Qo67J4LvMN",,,,,,,,,
"x980287665558999040",2018-04-01 03:36:06,"x904777158157008896","580Sportstalk","Wright ""you strive for balance, having all these guys in double figures, the one thing you can count on is defense and rebounding, not your shooting, tonight we made shots, it makes everything look good. If we don't shoot at an incredible clip its a 1-2 point game""","Twitter Web Client",,,,FALSE,FALSE,0,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x980287665072427009",2018-04-01 03:36:06,"x108679839","Jasmine_Jewels","RT @ReaganBattalion: .@PollackHunter &amp; his father Andrew are making a real difference working tirelessly to make sure that no other family…","Twitter Web Client",,,,FALSE,TRUE,0,1040,,,,,,,,,,,,,,"x4429709805 346384148","ReaganBattalion PollackHunter","en",,,"x979450898782019584",".@PollackHunter &amp; his father Andrew are making a real difference working tirelessly to make sure that no other family loses their child/sibling in a school shooting again. 

Please support this project in memory of his sister Meadow, a Parkland victim. https://t.co/xQx1Nr0fax https://t.co/N4sfOBJ3t8",,,,,,,,,
"x980287663055036417",2018-04-01 03:36:06,"x587806652","GLopez47","RT @Clarissa1017: I’m mad at him for not shooting. https://t.co/AMLAHJh0vs","Twitter for iPhone",,,,FALSE,TRUE,0,14,,,,,,"http://pbs.twimg.com/media/DZd1b5CVAAAVnPd.jpg","https://t.co/AMLAHJh0vs","https://twitter.com/Clarissa1017/status/979380575466328064/photo/1","photo","http://pbs.twimg.com/media/DZd1b5CVAAAVnPd.jpg","https://t.co/AMLAHJh0vs","https://twitter.com/Clarissa1017/status/979380575466328064/photo/1",,"x2317997892","Clarissa1017","en",,,"x979380575466328064","I’m mad at him for not shooting. https://t.co/AMLAHJh0vs",,,,,,,,,
"x980287662266265600",2018-04-01 03:36:06,"x901502536233885696","dabldenise","RT @KayaJones: Why wasn’t he in school when the shooting happened? Can someone explain that? Kinda weird the kids pushing to take our right…","Twitter for Android",,,,FALSE,TRUE,0,119,,,,,,,,,,,,,,"x32626129","KayaJones","en",,,"x980283824536920071","Why wasn’t he in school when the shooting happened? Can someone explain that? Kinda weird the kids pushing to take our rights away clearly weren’t there so were they tipped off?",,,,,,,,,
